service_date,date,bus,rail_boardings,total_rides
01/01/2001,2001-01-01,297192,126455,423647
01/02/2001,2001-01-02,780827,501952,1282779
01/03/2001,2001-01-03,824923,536432,1361355
01/04/2001,2001-01-04,870021,550011,1420032
01/05/2001,2001-01-05,890426,557917,1448343
01/06/2001,2001-01-06,577401,255356,832757
01/07/2001,2001-01-07,375831,169825,545656
01/08/2001,2001-01-08,985221,590706,1575927
01/09/2001,2001-01-09,978377,599905,1578282
01/10/2001,2001-01-10,984884,602052,1586936
01/11/2001,2001-01-11,995561,607503,1603064
01/12/2001,2001-01-12,1018985,605252,1624237
01/13/2001,2001-01-13,591791,270056,861847
01/14/2001,2001-01-14,373091,174842,547933
01/15/2001,2001-01-15,675845,412149,1087994
01/16/2001,2001-01-16,1024367,622163,1646530
01/17/2001,2001-01-17,1018690,620343,1639033
01/18/2001,2001-01-18,1006996,618832,1625828
01/19/2001,2001-01-19,909964,583851,1493815
01/20/2001,2001-01-20,582348,263815,846163
01/21/2001,2001-01-21,378381,172107,550488
01/22/2001,2001-01-22,1005936,598777,1604713
01/23/2001,2001-01-23,1019983,610352,1630335
01/24/2001,2001-01-24,991661,606835,1598496
01/25/2001,2001-01-25,1004257,609877,1614134
01/26/2001,2001-01-26,965324,597039,1562363
01/27/2001,2001-01-27,590836,268078,858914
01/28/2001,2001-01-28,368819,174434,543253
01/29/2001,2001-01-29,953532,587052,1540584
01/30/2001,2001-01-30,982046,607858,1589904
01/31/2001,2001-01-31,999392,610508,1609900
02/01/2001,2001-02-01,1054608,615268,1669876
02/02/2001,2001-02-02,966701,577767,1544468
02/03/2001,2001-02-03,611703,263612,875315
02/04/2001,2001-02-04,404212,178398,582610
02/05/2001,2001-02-05,1045944,600588,1646532
02/06/2001,2001-02-06,1039393,612435,1651828
02/07/2001,2001-02-07,1015059,609022,1624081
02/08/2001,2001-02-08,1007760,610237,1617997
02/09/2001,2001-02-09,970826,593354,1564180
02/10/2001,2001-02-10,605404,271313,876717
02/11/2001,2001-02-11,405433,178810,584243
02/12/2001,2001-02-12,872330,539393,1411723
02/13/2001,2001-02-13,1050834,622753,1673587
02/14/2001,2001-02-14,1004304,610966,1615270
02/15/2001,2001-02-15,1028938,613323,1642261
02/16/2001,2001-02-16,1033040,601418,1634458
02/17/2001,2001-02-17,591717,269294,861011
02/18/2001,2001-02-18,388788,176855,565643
02/19/2001,2001-02-19,782447,457891,1240338
02/20/2001,2001-02-20,1035400,610284,1645684
02/21/2001,2001-02-21,986212,600133,1586345
02/22/2001,2001-02-22,986399,606302,1592701
02/23/2001,2001-02-23,1024235,602352,1626587
02/24/2001,2001-02-24,505193,246795,751988
02/25/2001,2001-02-25,351637,172132,523769
02/26/2001,2001-02-26,1009329,609256,1618585
